equipement;datetime;T_mu;debit_Ventulation
Baie_0001;10/03/2013;-10,35;36,7311
Baie_0001;11/03/2013;-7,2625;35,4459
Baie_0001;12/03/2013;-6,5625;39,3208
Baie_0001;13/03/2013;-5,825;42,2709
Baie_0001;14/03/2013;-10,15;27,5948
Baie_0001;15/03/2013;-9,071428571;29,26007143
Baie_0001;19/03/2013;-6,85;28,18
Baie_0001;20/03/2013;-4,1125;37,3513
Baie_0001;21/03/2013;-6,525;23,7043
Baie_0001;22/03/2013;-8,9875;22,0263
Baie_0001;23/03/2013;-4,5;24,4455
Baie_0001;24/03/2013;-2,1625;44,8111
Baie_0001;25/03/2013;-2,0375;32,0012
Baie_0001;26/03/2013;-1,257142857;32,80925714
Baie_0001;27/03/2013;-2,5875;28,724
Baie_0001;28/03/2013;-0,9625;35,2267
Baie_0001;29/03/2013;-1,775;33,9044
Baie_0001;30/03/2013;-1,8125;47,6938
Baie_0001;31/03/2013;-1,6;32,529
Baie_0001;01/04/2013;-1,125;45,1864
Baie_0001;02/04/2013;0,925;47,696
Baie_0001;03/04/2013;0,6375;36,6819
Baie_0001;04/04/2013;0,475;37,3951
Baie_0001;05/04/2013;1,85;42,5594
Baie_0001;06/04/2013;0,8875;37,4225
Baie_0001;07/04/2013;-0,7375;44,0144
Baie_0001;08/04/2013;-0,8;45,8783
Baie_0001;09/04/2013;-1,357142857;36,89795714
Baie_0001;10/04/2013;0,475;45,9818
Baie_0001;11/04/2013;1,714285714;40,30858571
Baie_0001;12/04/2013;2,625;41,8327
Baie_0001;13/04/2013;2,8125;40,5215
Baie_0001;14/04/2013;2,675;38,0218
Baie_0001;15/04/2013;2,8625;39,7502
Baie_0001;16/04/2013;4,1;43,3765
Baie_0001;17/04/2013;4,875;40,2949
Baie_0001;18/04/2013;5,0875;52,9077
Baie_0001;19/04/2013;5,0125;32,4186
Baie_0001;20/04/2013;6,075;42,4849
Baie_0001;21/04/2013;4,8375;48,6706
Baie_0001;22/04/2013;4,7625;39,847
Baie_0001;23/04/2013;5,725;46,9385
Baie_0001;25/04/2013;7,55;42,1219
Baie_0001;26/04/2013;4,075;40,0176
Baie_0001;27/04/2013;4,1625;35,743
Baie_0001;28/04/2013;3,0375;30,9811
Baie_0001;29/04/2013;6,1;48,6274
Baie_0001;30/04/2013;5,9125;42,803
Baie_0001;01/05/2013;8,225;49,6377
Baie_0001;02/05/2013;5,7875;38,8391
Baie_0001;03/05/2013;6,7625;37,224
Baie_0001;04/05/2013;7,55;44,4095
Baie_0001;05/05/2013;7,5;40,0862
Baie_0001;06/05/2013;7,675;45,3668
Baie_0001;08/05/2013;12,6;48,6061
Baie_0001;09/05/2013;12,7625;43,0463
Baie_0001;10/05/2013;11,5;39,005
Baie_0001;11/05/2013;11,025;58,4372
Baie_0001;12/05/2013;11,7;51,3464
Baie_0001;13/05/2013;11,1625;49,635
Baie_0001;14/05/2013;10,8;48,5916
Baie_0001;15/05/2013;9,55;44,4969
Baie_0001;16/05/2013;13,3;49,8675
Baie_0001;17/05/2013;16,5625;48,6628
Baie_0001;18/05/2013;16,1875;57,9929
Baie_0001;19/05/2013;17,5125;54,5956
Baie_0001;20/05/2013;15,9125;56,4346
Baie_0001;21/05/2013;15,575;55,1793
Baie_0001;22/05/2013;11,8125;53,9118
Baie_0001;23/05/2013;10,2125;37,9779
Baie_0001;24/05/2013;12,075;44,7458
Baie_0001;25/05/2013;14,6;45,6506
Baie_0001;26/05/2013;15,175;57,5256
Baie_0001;27/05/2013;14,5625;56,8395
Baie_0001;28/05/2013;17,8375;61,5999
Baie_0001;29/05/2013;18,6;50,6148
Baie_0001;30/05/2013;16,5;58,5204
Baie_0001;31/05/2013;16,6125;56,6086
Baie_0001;01/06/2013;18,6875;59,1948
Baie_0001;02/06/2013;20,4125;63,7
Baie_0001;03/06/2013;20,6625;50,5521
Baie_0001;05/06/2013;21,2125;54,1346
Baie_0001;06/06/2013;20,2875;50,6888
Baie_0001;07/06/2013;18,3375;62,7258
Baie_0001;08/06/2013;17,525;57,0696
Baie_0001;09/06/2013;16,9;57,7661
Baie_0001;10/06/2013;15,1125;59,174
Baie_0001;11/06/2013;14,7875;60,2747
Baie_0001;12/06/2013;13,025;50,7468
Baie_0001;13/06/2013;14,8625;51,6942
Baie_0001;14/06/2013;14,25;46,0498
Baie_0001;15/06/2013;14,0875;61,7682
Baie_0001;16/06/2013;12,875;52,0331
Baie_0001;17/06/2013;13,7375;47,9405
Baie_0001;18/06/2013;16,2875;50,0662
Baie_0001;19/06/2013;15,925;49,8929
Baie_0001;20/06/2013;14,6125;57,8823
Baie_0001;21/06/2013;18,275;60,8974
Baie_0001;22/06/2013;18,225;47,1944
Baie_0001;23/06/2013;16,4;58,5628
Baie_0001;24/06/2013;18,2875;65,6309
Baie_0001;25/06/2013;21,325;56,281
Baie_0001;26/06/2013;23,75;65,8268
Baie_0001;27/06/2013;20,7875;54,6589
Baie_0001;28/06/2013;18,0875;66,3014
Baie_0001;29/06/2013;17,0125;52,6732
Baie_0001;30/06/2013;17,8125;56,3686
Baie_0001;01/07/2013;18,45;63,2301
Baie_0001;03/07/2013;17,6375;60,7678
Baie_0001;04/07/2013;17,85;60,1136
Baie_0001;05/07/2013;20,7125;50,6069
Baie_0001;06/07/2013;19,1625;67,7075
Baie_0001;07/07/2013;20,125;50,8235
Baie_0001;08/07/2013;19,3625;60,1742
Baie_0001;09/07/2013;16,9625;54,5009
Baie_0001;10/07/2013;17,11818182;66,67178182
Baie_0001;12/07/2013;17,6375;43,8138
Baie_0001;13/07/2013;18,95416667;47,80316667
Baie_0001;14/07/2013;19,68333333;66,46723333
Baie_0001;15/07/2013;17,69583333;59,38803333
Baie_0001;16/07/2013;17,0875;48,1056
Baie_0001;17/07/2013;17,76666667;61,43066667
Baie_0001;18/07/2013;16,0625;63,5048
Baie_0001;19/07/2013;14,27142857;50,27142857
Baie_0001;20/07/2013;16,35;52,7508
Baie_0001;21/07/2013;15,325;55,7592
Baie_0001;22/07/2013;14,9;51,9874
Baie_0001;23/07/2013;19,475;60,3239
Baie_0001;24/07/2013;17,8625;54,7526
Baie_0001;25/07/2013;18,775;56,8781
Baie_0001;26/07/2013;19,3;68,8665
Baie_0001;27/07/2013;19,9;56,4031
Baie_0001;28/07/2013;19,6125;52,5236
Baie_0001;29/07/2013;19,3625;63,4546
Baie_0001;30/07/2013;19,675;65,9969
Baie_0001;31/07/2013;18,425;62,9084
Baie_0001;02/08/2013;18,5;58,1439
Baie_0001;03/08/2013;20,625;56,3889
Baie_0001;04/08/2013;20,5625;60,3465
Baie_0001;05/08/2013;19,275;47,382
Baie_0001;06/08/2013;19,725;54,2935
Baie_0001;07/08/2013;20,625;67,8929
Baie_0001;08/08/2013;21,5125;63,9629
Baie_0001;09/08/2013;19,6375;63,5165
Baie_0001;10/08/2013;18,8;55,0341
Baie_0001;11/08/2013;18,275;63,1048
Baie_0001;12/08/2013;16,375;64,3911
Baie_0001;13/08/2013;15,425;61,6934
Baie_0001;14/08/2013;13,5625;48,7555
Baie_0001;15/08/2013;16,3875;56,2808
Baie_0001;16/08/2013;16,4125;51,0403
Baie_0001;17/08/2013;15,3375;42,2104
Baie_0001;18/08/2013;17,84285714;53,63925714
Baie_0001;19/08/2013;17,35;49,4474
Baie_0001;20/08/2013;16,425;56,1019
Baie_0001;21/08/2013;16,425;53,4445
Baie_0001;22/08/2013;16,3375;59,775
Baie_0001;23/08/2013;14,825;48,1995
Baie_0001;24/08/2013;14,1375;41,245
Baie_0001;25/08/2013;14,8125;51,8908
Baie_0001;26/08/2013;16,5;50,8401
Baie_0001;27/08/2013;16,64615385;51,03405385
Baie_0001;28/08/2013;16,88636364;62,04676364
Baie_0001;29/08/2013;15,825;50,2029
Baie_0001;30/08/2013;14,9875;52,3964
Baie_0001;31/08/2013;15,7375;48,3251
Baie_0001;01/09/2013;16,0875;51,3383
Baie_0001;02/09/2013;12,3375;52,3837
Baie_0001;03/09/2013;13,7125;46,9609
Baie_0001;05/09/2013;16,92857143;59,70677143
Baie_0001;06/09/2013;14,675;49,7858
Baie_0001;07/09/2013;14,0125;52,4892
Baie_0001;08/09/2013;16,1875;49,4928
Baie_0001;09/09/2013;16;54,7085
Baie_0001;10/09/2013;15,4;56,1768
Baie_0001;11/09/2013;16,675;47,0978
Baie_0001;12/09/2013;16,1875;55,6236
Baie_0001;13/09/2013;15,4875;59,205
Baie_0001;14/09/2013;14,675;43,4657
Baie_0001;15/09/2013;14,7875;50,8993
Baie_0001;16/09/2013;14,6375;48,0407
Baie_0001;17/09/2013;15,25;55,2016
Baie_0001;18/09/2013;15,1625;48,193
Baie_0001;19/09/2013;15,4875;51,7794
Baie_0001;20/09/2013;15,05;56,2601
Baie_0001;21/09/2013;12,925;60,9822
Baie_0001;22/09/2013;11,4;57,1041
Baie_0001;23/09/2013;9,525;42,7132
Baie_0001;24/09/2013;7,9625;43,5802
Baie_0001;25/09/2013;4,425;40,5726
Baie_0001;26/09/2013;3,628571429;36,61277143
Baie_0001;27/09/2013;7,4375;50,9276
Baie_0001;28/09/2013;7,3625;36,7581
Baie_0001;29/09/2013;6,6625;46,6529
Baie_0001;30/09/2013;4,2125;47,769
Baie_0001;01/10/2013;5,025;42,6719
Baie_0001;03/10/2013;9,5375;46,1347
Baie_0001;04/10/2013;9,15;49,9029
Baie_0001;05/10/2013;10,425;45,5582
Baie_0001;06/10/2013;11,5375;47,7109
Baie_0001;07/10/2013;12,1875;59,1821
Baie_0001;08/10/2013;11,125;46,1608
Baie_0001;09/10/2013;11,5875;48,8746
Baie_0001;10/10/2013;11,5375;50,8838
Baie_0001;11/10/2013;9,7875;51,9914
Baie_0001;12/10/2013;7,4125;47,164
Baie_0001;13/10/2013;9,25;54,7162
Baie_0001;14/10/2013;5,275;39,0399
Baie_0001;15/10/2013;8,825;50,1536
Baie_0001;16/10/2013;3,8875;49,3317
Baie_0001;17/10/2013;3,6625;46,1531
Baie_0001;18/10/2013;4,3625;48,3447
Baie_0001;19/10/2013;2,7125;45,4921
Baie_0001;20/10/2013;1,575;37,7135
Baie_0001;21/10/2013;0,1;37,366
Baie_0001;22/10/2013;1,7375;41,3915
Baie_0001;23/10/2013;7,075;44,7591
Baie_0001;24/10/2013;10,05;50,2888
Baie_0001;25/10/2013;9,1125;43,3671
Baie_0001;26/10/2013;7,1125;41,5296
Baie_0001;27/10/2013;9,744444444;47,28144444
Baie_0001;28/10/2013;9,875;38,1435
Baie_0001;29/10/2013;9,6375;53,1314
Baie_0001;30/10/2013;7,475;46,3517
Baie_0001;31/10/2013;6;43,0596
Baie_0001;01/11/2013;8,375;52,8493
Baie_0001;02/11/2013;7,875;41,1736
Baie_0001;03/11/2013;5,275;43,3375
Baie_0001;05/11/2013;7,0125;35,098
Baie_0001;06/11/2013;6,1125;44,1654
Baie_0001;07/11/2013;5,425;43,5038
Baie_0001;08/11/2013;6,4125;47,3073
Baie_0001;09/11/2013;6,8875;51,0441
Baie_0001;10/11/2013;6,675;49,8655
Baie_0001;11/11/2013;2,8125;43,5229
Baie_0001;12/11/2013;5,925;34,3545
Baie_0001;13/11/2013;6,3625;40,5913
Baie_0001;14/11/2013;3,575;35,3509
Baie_0001;15/11/2013;6,175;45,3727
Baie_0001;16/11/2013;7,45;39,4552
Baie_0001;17/11/2013;6,3625;41,9582
Baie_0001;18/11/2013;4,5;41,7006
Baie_0001;19/11/2013;5,65;38,9739
Baie_0001;20/11/2013;5,3375;44,6991
Baie_0001;21/11/2013;5,95;49,1525
Baie_0001;22/11/2013;6,0875;41,324
Baie_0001;23/11/2013;2,025;40,9704
Baie_0001;24/11/2013;1,425;40,5888
Baie_0001;25/11/2013;-1,3125;34,9751
Baie_0001;26/11/2013;-1,2125;46,5819
Baie_0001;27/11/2013;4,7625;40,2828
Baie_0001;28/11/2013;3,85;47,094
Baie_0001;29/11/2013;-1,5125;26,2744
Baie_0001;30/11/2013;-1,8;36,5735
Baie_0001;01/12/2013;1,975;50,2319
Baie_0001;02/12/2013;-1,0625;34,034
Baie_0001;04/12/2013;-0,0875;35,9043
Baie_0001;05/12/2013;1,95;47,0206
Baie_0001;06/12/2013;1,9;47,5105
Baie_0001;07/12/2013;-0,6375;46,0996
Baie_0001;08/12/2013;-3,5875;38,6494
Baie_0001;09/12/2013;-6,2625;22,1952
Baie_0001;10/12/2013;-2,525;38,2776
Baie_0001;11/12/2013;2,5625;40,2213
Baie_0001;12/12/2013;4,2625;47,6604
Baie_0001;13/12/2013;2,375;38,998
Baie_0001;14/12/2013;-3,225;28,8151
Baie_0001;15/12/2013;1,4875;39,7454
Baie_0001;16/12/2013;4,5125;46,7871
Baie_0001;17/12/2013;4,8125;34,3839
Baie_0001;18/12/2013;1,7125;39,2667
Baie_0001;19/12/2013;2,7125;35,7932
Baie_0001;20/12/2013;3,6875;45,5742
Baie_0001;21/12/2013;4,425;34,7016
Baie_0001;22/12/2013;5,6375;35,9514
Baie_0001;23/12/2013;4,5625;46,5801
Baie_0001;24/12/2013;4,25;32,4
Baie_0001;25/12/2013;5,1375;51,1388
Baie_0001;26/12/2013;4,45;42,7892
Baie_0001;27/12/2013;4,4125;32,7861
Baie_0001;28/12/2013;5,4125;39,7813
Baie_0001;29/12/2013;5,1625;47,4414
Baie_0001;30/12/2013;3,9125;43,0247
Baie_0001;31/12/2013;4,1125;40,8067
Baie_0001;01/01/2014;3,55;45,1118
Baie_0001;03/01/2014;1,7;36,9823
Baie_0001;04/01/2014;2,55;41,2747
Baie_0001;05/01/2014;4,4875;43,7268
Baie_0001;06/01/2014;2,4375;41,7269
Baie_0001;07/01/2014;3,4375;38,2812
Baie_0001;08/01/2014;5,1375;46,2779
Baie_0001;09/01/2014;4,625;50,3086
Baie_0001;10/01/2014;1,7625;39,5202
Baie_0001;11/01/2014;-3,1625;44,7738
Baie_0001;12/01/2014;-7,3375;28,7824
Baie_0001;13/01/2014;-10,4375;30,6111
Baie_0001;14/01/2014;-13,5625;28,3753
Baie_0001;15/01/2014;-10,4375;27,9786
Baie_0001;16/01/2014;-11,45;31,3043
Baie_0001;17/01/2014;-12,7125;31,424
Baie_0001;18/01/2014;-12,7125;25,6582
Baie_0001;19/01/2014;-12,1375;21,6914
Baie_0001;20/01/2014;-10,9875;27,3655
Baie_0001;21/01/2014;-10,4125;34,2768
Baie_0001;22/01/2014;-13,9;20,6752
Baie_0001;23/01/2014;-14,3125;22,6636
Baie_0001;24/01/2014;-15,2625;19,8913
Baie_0001;25/01/2014;-7,1625;23,7204
Baie_0001;26/01/2014;-7,1625;38,1699
Baie_0001;27/01/2014;-7,0125;29,5006
Baie_0001;28/01/2014;-6,925;38,7949
Baie_0001;29/01/2014;-7,775;31,2001
Baie_0001;30/01/2014;-9,7;31,3209
Baie_0001;31/01/2014;-8,3375;30,3046
Baie_0001;01/02/2014;-5,5625;34,1717
Baie_0001;02/02/2014;-2,6125;42,2937
Baie_0001;03/02/2014;-0,425;47,013
Baie_0001;05/02/2014;-2,85;39,3964
Baie_0001;06/02/2014;-5,2625;23,9735
Baie_0001;07/02/2014;-1,0625;34,3096
Baie_0001;08/02/2014;1,5625;37,915
Baie_0001;09/02/2014;2,075;35,2766
Baie_0001;10/02/2014;1,35;42,7933
Baie_0001;11/02/2014;0,2625;42,7602
Baie_0001;12/02/2014;0,875;34,9433
Baie_0001;13/02/2014;1,2375;32,2021
Baie_0001;14/02/2014;0,8;38,0264
Baie_0001;15/02/2014;0,4125;44,9308
Baie_0001;16/02/2014;1,3625;37,7103
Baie_0001;17/02/2014;1,8375;38,1642
Baie_0001;18/02/2014;1,35;35,5726
Baie_0001;19/02/2014;0,5625;38,562
Baie_0001;20/02/2014;-1,7125;35,7031
Baie_0001;21/02/2014;-1,65;42,0928
Baie_0001;22/02/2014;1,7875;30,2581
Baie_0001;23/02/2014;2,1625;39,8027
Baie_0001;24/02/2014;3,275;43,1803
Baie_0001;25/02/2014;1,9125;38,2478
Baie_0001;26/02/2014;0,575;41,8802
Baie_0001;27/02/2014;0,9625;38,4751
Baie_0001;28/02/2014;0,8625;35,9332
Baie_0001;01/03/2014;0,075;37,5398
Baie_0001;02/03/2014;0,6875;38,911
Baie_0001;03/03/2014;0,9;46,3189
Baie_0001;05/03/2014;1,2625;36,4044
Baie_0001;06/03/2014;0,55;28,7153
Baie_0001;07/03/2014;1,725;36,821
Baie_0001;08/03/2014;4,175;44,614
Baie_0001;09/03/2014;3,425;45,5644
Baie_0001;10/03/2014;4,225;48,577
Baie_0001;11/03/2014;4,7875;43,494
Baie_0001;12/03/2014;5,75;45,4456
Baie_0001;13/03/2014;5;43,3927
Baie_0001;14/03/2014;4,7;45,0205
Baie_0001;15/03/2014;0,7625;41,1451
Baie_0001;16/03/2014;-1,5;40,1344
Baie_0001;17/03/2014;-4,0625;22,9265
Baie_0001;18/03/2014;-1,7875;40,9162
Baie_0001;19/03/2014;-1,95;26,1766
Baie_0001;20/03/2014;-2,425;43,0283
Baie_0001;21/03/2014;4,475;43,2847
Baie_0001;22/03/2014;3,3375;32,8033
Baie_0001;23/03/2014;2,725;39,1578
Baie_0001;24/03/2014;3,475;39,0449
Baie_0001;25/03/2014;4,9;42,5306
Baie_0001;26/03/2014;3,55;49,031
Baie_0001;27/03/2014;4;39,075
Baie_0001;28/03/2014;3,5875;31,2602
Baie_0001;29/03/2014;2,975;39,9754
Baie_0001;30/03/2014;4,771428571;36,79002857
Baie_0001;31/03/2014;1,65;47,2089
Baie_0001;01/04/2014;1,1125;37,3542
Baie_0001;03/04/2014;2,7875;46,6952
Baie_0001;04/04/2014;2,2625;38,3365
Baie_0001;05/04/2014;3,0875;38,5963
Baie_0001;06/04/2014;3,6;36,0491
Baie_0001;07/04/2014;2,9;43,8144
Baie_0001;08/04/2014;2,8875;45,5424
Baie_0001;09/04/2014;2,7125;41,7139
Baie_0001;10/04/2014;1,925;37,8475
Baie_0001;11/04/2014;3,8875;47,2663
Baie_0001;12/04/2014;3,5375;46,8207
Baie_0001;13/04/2014;4,275;35,0208
Baie_0001;14/04/2014;5,1;43,6971
Baie_0001;15/04/2014;5,4;43,0789
Baie_0001;17/04/2014;5,275;39,5564
Baie_0001;18/04/2014;8,35;43,3925
Baie_0001;19/04/2014;9;47,719
Baie_0001;20/04/2014;9,6125;51,0271
Baie_0001;21/04/2014;9,4;51,8829
Baie_0001;22/04/2014;12,5875;60,0508
Baie_0001;23/04/2014;7,771428571;54,35942857
Baie_0001;24/04/2014;6,25;50,096
Baie_0001;25/04/2014;7,95;55,6436
Baie_0001;26/04/2014;9,2;43,9128
Baie_0001;27/04/2014;11,25;54,4372
Baie_0001;28/04/2014;11,5375;48,5145
Baie_0001;29/04/2014;10,0375;39,6648
Baie_0001;30/04/2014;7,3875;46,0955
Baie_0001;01/05/2014;4,9;38,0175
Baie_0001;02/05/2014;3,275;40,2769
Baie_0001;03/05/2014;4,85;46,879
Baie_0001;04/05/2014;4,4625;38,5045
Baie_0001;05/05/2014;4,0125;36,1969
Baie_0001;06/05/2014;4,75;38,3008
Baie_0001;08/05/2014;5,5375;42,7863
Baie_0001;09/05/2014;7,6125;42,5508
Baie_0001;10/05/2014;8,1125;49,1621
Baie_0001;11/05/2014;8,971428571;38,82422857
Baie_0001;12/05/2014;9,125;48,3882
Baie_0001;13/05/2014;9,65;49,7956
Baie_0001;14/05/2014;10,95;52,5619
Baie_0001;15/05/2014;8,5375;46,365
Baie_0001;16/05/2014;8,5875;49,2014
Baie_0001;17/05/2014;10,8125;51,0069
Baie_0001;18/05/2014;14,925;47,6784
Baie_0001;19/05/2014;18,575;51,1942
Baie_0001;20/05/2014;17,9875;51,0954
Baie_0001;21/05/2014;14,7625;53,9316
Baie_0001;22/05/2014;16,7125;55,561
Baie_0001;23/05/2014;18,025;63,6995
Baie_0001;24/05/2014;21,1625;57,3106
Baie_0001;25/05/2014;20,075;58,6249
Baie_0001;26/05/2014;17,9875;60,2349
Baie_0001;27/05/2014;8,8875;45,5635
Baie_0001;28/05/2014;6,8375;37,579
Baie_0001;29/05/2014;8,7;51,8475
Baie_0001;30/05/2014;11,225;54,5737
Baie_0001;31/05/2014;11,125;51,972
Baie_0001;01/06/2014;12,5125;49,424
Baie_0001;02/06/2014;14,6625;55,9003
Baie_0001;04/06/2014;18,1;54,4415
Baie_0001;05/06/2014;19,2375;66,5465
Baie_0001;06/06/2014;17,7375;50,2234
Baie_0001;07/06/2014;15,35714286;52,03504286
Baie_0001;08/06/2014;14,725;57,8362
Baie_0001;09/06/2014;16,0875;47,5485
Baie_0001;10/06/2014;16,45;50,631
Baie_0001;11/06/2014;16,175;53,0263
Baie_0001;12/06/2014;13,275;55,079
Baie_0001;13/06/2014;12,9875;56,8579
Baie_0001;14/06/2014;13,5375;43,5131
Baie_0001;15/06/2014;13,075;51,6239
Baie_0001;16/06/2014;12,4875;48,5701
Baie_0001;17/06/2014;8,15;43,2909
Baie_0001;18/06/2014;11,35;55,3351
Baie_0001;19/06/2014;13,025;52,8247
Baie_0001;20/06/2014;11,675;50,3084
Baie_0001;21/06/2014;9,875;50,9208
Baie_0001;22/06/2014;9,5875;49,3141
Baie_0001;23/06/2014;9,5875;58,4703
Baie_0001;24/06/2014;11,6;53,7361
Baie_0001;25/06/2014;12,5875;51,09
Baie_0001;26/06/2014;12,425;58,1377
Baie_0001;27/06/2014;12,8625;47,9346
Baie_0001;28/06/2014;14,5625;51,5954
Baie_0001;29/06/2014;13,1;54,4186
Baie_0001;30/06/2014;13,5;49,467
Baie_0001;01/07/2014;13,1875;51,003
Baie_0001;03/07/2014;14,8625;48,7057
Baie_0001;04/07/2014;16,3875;63,4877
Baie_0001;05/07/2014;16,575;55,2075
Baie_0001;06/07/2014;18,1875;62,9829
Baie_0001;07/07/2014;20,0875;61,1476
Baie_0001;08/07/2014;21,3;54,0897
Baie_0001;09/07/2014;22,225;53,5948
Baie_0001;10/07/2014;17,8125;53,1928
Baie_0001;11/07/2014;16,3375;56,3403
Baie_0001;12/07/2014;17,4625;51,9307
Baie_0001;13/07/2014;20,5875;60,2157
Baie_0001;14/07/2014;19,175;61,9298
Baie_0001;15/07/2014;18,725;60,7612
Baie_0001;16/07/2014;17,6125;64,0056
Baie_0001;17/07/2014;18,4125;55,7803
Baie_0001;18/07/2014;19,3875;61,1327
Baie_0001;19/07/2014;20,75;60,1398
Baie_0001;20/07/2014;20,75;64,4116
Baie_0001;21/07/2014;21,05;58,4336
Baie_0001;22/07/2014;22;64,0878
Baie_0001;23/07/2014;24,6875;69,0223
Baie_0001;24/07/2014;22,975;72,2964
Baie_0001;25/07/2014;23,35;64,6437
Baie_0001;26/07/2014;24,7;60,8084
Baie_0001;27/07/2014;24,4125;60,4803
Baie_0001;28/07/2014;24,8375;71,415
Baie_0001;29/07/2014;23,5625;61,1004
Baie_0001;30/07/2014;22,7125;67,2007
Baie_0001;31/07/2014;23,3375;60,9485
Baie_0001;01/08/2014;21,775;67,2364
Baie_0001;02/08/2014;21,825;60,4613
Baie_0001;03/08/2014;22,5625;68,6517
Baie_0001;05/08/2014;24,225;52,7902
Baie_0001;06/08/2014;24,525;69,4465
Baie_0001;07/08/2014;23,3;63,1719
Baie_0001;08/08/2014;21,2875;59,3299
Baie_0001;09/08/2014;20,875;55,389
Baie_0001;10/08/2014;21,1875;62,7536
Baie_0001;11/08/2014;22,4125;68,4998
Baie_0001;12/08/2014;21,25;69,1949
Baie_0001;13/08/2014;17,7;62,5078
Baie_0001;14/08/2014;17,8875;49,9797
Baie_0001;15/08/2014;17,5;49,3939
Baie_0001;16/08/2014;18,0125;57,0965
Baie_0001;17/08/2014;16,9875;52,707
Baie_0001;18/08/2014;16,475;62,4037
Baie_0001;19/08/2014;15,35;53,9189
Baie_0001;20/08/2014;14,1;51,7392
Baie_0001;21/08/2014;14,7875;55,7382
Baie_0001;22/08/2014;14,675;49,1073
Baie_0001;23/08/2014;13,4125;48,8511
Baie_0001;24/08/2014;14,2875;45,3367
Baie_0001;25/08/2014;13,4625;45,3674
Baie_0001;26/08/2014;14,5125;56,3294
Baie_0001;27/08/2014;14,225;58,5068
Baie_0001;28/08/2014;14,5625;51,7488
Baie_0001;29/08/2014;12,95;42,3083
Baie_0001;30/08/2014;12,8875;52,6313
Baie_0001;31/08/2014;13,05;43,3916
Baie_0001;01/09/2014;12,125;40,2664
Baie_0001;03/09/2014;16,1875;56,3776
Baie_0001;04/09/2014;15,6;57,7241
Baie_0001;05/09/2014;16,9;45,1728
Baie_0001;06/09/2014;14,375;51,1207
Baie_0001;07/09/2014;14,2875;48,4045
Baie_0001;08/09/2014;15,5375;49,3005
Baie_0001;09/09/2014;16,9625;61,0135
Baie_0001;10/09/2014;14,75;46,9559
Baie_0001;11/09/2014;14,9875;59,8211
Baie_0001;12/09/2014;15,275;53,167
Baie_0001;13/09/2014;14,325;52,3837
Baie_0001;14/09/2014;12,8875;44,5487
Baie_0001;15/09/2014;13,05;52,296
Baie_0001;16/09/2014;12,45;40,9268
Baie_0001;17/09/2014;12,1625;42,7401
Baie_0001;18/09/2014;12,475;44,0588
Baie_0001;19/09/2014;14;52,0152
Baie_0001;20/09/2014;14,6875;54,1413
Baie_0001;22/09/2014;11,625;53,8131
Baie_0001;23/09/2014;4,0625;41,3697
Baie_0001;24/09/2014;5,15;39,6908
Baie_0001;25/09/2014;11,45;54,8493
Baie_0001;26/09/2014;12,1375;54,403
Baie_0001;27/09/2014;12,1625;43,6264
Baie_0001;28/09/2014;12,825;54,0509
Baie_0001;29/09/2014;12,375;54,8393
Baie_0001;30/09/2014;9,2375;44,8265
Baie_0001;01/10/2014;6,625;43,376
Baie_0001;03/10/2014;11,425;56,7579
Baie_0001;04/10/2014;11,725;58,3044
Baie_0001;05/10/2014;8,525;53,0404
Baie_0001;06/10/2014;7,7375;46,4937
Baie_0001;07/10/2014;9,0375;43,6495
Baie_0001;08/10/2014;8,7375;45,9725
Baie_0001;10/10/2014;12,0625;39,1528
Baie_0001;11/10/2014;11,5125;43,2282
Baie_0001;12/10/2014;7,9375;40,7874
Baie_0001;13/10/2014;8;44,6058
Baie_0001;14/10/2014;9,125;51,6137
Baie_0001;15/10/2014;4,7625;39,051
Baie_0001;16/10/2014;2,975;45,2611
Baie_0001;17/10/2014;1,6;42,0075
Baie_0001;18/10/2014;-0,2;38,7989
Baie_0001;19/10/2014;6,925;52,1045
Baie_0001;20/10/2014;7,4;50,5614
Baie_0001;21/10/2014;1,6125;33,7993
Baie_0001;22/10/2014;-1,275;31,046
Baie_0001;23/10/2014;-1,7125;38,3839
Baie_0001;24/10/2014;0,5;44,4765
Baie_0001;25/10/2014;3,6125;36,8246
Baie_0001;26/10/2014;6,911111111;42,59711111
Baie_0001;27/10/2014;10,4125;51,6819
Baie_0001;28/10/2014;10,7125;52,4826
Baie_0001;29/10/2014;9,15;52,7524
Baie_0001;30/10/2014;6,3;38,2866
Baie_0001;31/10/2014;4,5125;39,6008
Baie_0001;01/11/2014;2,275;40,95
Baie_0001;02/11/2014;6,3625;46,5535
Baie_0001;03/11/2014;8,75;46,2826
Baie_0001;05/11/2014;4,1375;42,8422
Baie_0001;06/11/2014;1,5875;39,1646
Baie_0001;07/11/2014;2,275;37,2606
Baie_0001;08/11/2014;1,5;38,9548
Baie_0001;09/11/2014;6,1125;48,0355
Baie_0001;10/11/2014;5,9875;47,4169
Baie_0001;11/11/2014;8,0375;43,8091
Baie_0001;12/11/2014;6,8625;43,3603
Baie_0001;13/11/2014;3,7;44,4557
Baie_0001;14/11/2014;2,6375;37,6824
Baie_0001;15/11/2014;1,925;38,7472
Baie_0001;16/11/2014;3,55;38,0717
Baie_0001;17/11/2014;2,9125;35,417
Baie_0001;18/11/2014;2,525;44,5316
